,E+,SiteKBTU,OS
unitary_vav_bypass_plenum.osm,25.1.0-1c11a3d85f,3802367.4197321385,3.10.0
baseline_sys09.rb,25.1.0-1c11a3d85f,6755831.913826857,3.10.0
daylighting_shades.py,25.1.0-1c11a3d85f,7121831.494835845,3.10.0
thermal_storage.osm,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
photovoltaics_sandia.osm,25.1.0-1c11a3d85f,1960493.3661696748,3.10.0
pv_and_storage_facilityexcess.osm,25.1.0-1c11a3d85f,5641454.890960881,3.10.0
multiple_airloops.py,25.1.0-1c11a3d85f,13207405.053861935,3.10.0
tablelookup.py,25.1.0-1c11a3d85f,2245065.9783725454,3.10.0
setpoint_manager_systemnodereset.py,25.1.0-1c11a3d85f,3194835.601953708,3.10.0
vrf.rb,25.1.0-1c11a3d85f,3812755.495370772,3.10.0
multi_stage.rb,25.1.0-1c11a3d85f,2979633.7247865694,3.10.0
schedule_ruleset_2013.rb,25.1.0-1c11a3d85f,6779896.990511612,3.10.0
centralheatpumpsystem.osm,25.1.0-1c11a3d85f,4617509.099543997,3.10.0
ems.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
availability_managers.rb,25.1.0-1c11a3d85f,4283830.082337694,3.10.0
coilsystem_cooling_water.rb,25.1.0-1c11a3d85f,4477469.120017705,3.10.0
foundation_kiva.osm,25.1.0-1c11a3d85f,4619518.471839062,3.10.0
electric_equipment_ITE.py,25.1.0-1c11a3d85f,7891838.123378383,3.10.0
multiple_airloops.osm,25.1.0-1c11a3d85f,13207405.053861935,3.10.0
water_heaters.rb,25.1.0-1c11a3d85f,7548207.02640879,3.10.0
swimmingpool_indoor.rb,25.1.0-1c11a3d85f,11497770.444925588,3.10.0
coilsystem_dxhx_desiccant_balancedflow.py,25.1.0-1c11a3d85f,1160459.89125561,3.10.0
design_day.osm,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
multi_stage_electric.rb,25.1.0-1c11a3d85f,2177903.6572271436,3.10.0
adiabatic_construction_set.rb,25.1.0-1c11a3d85f,1548856.3908176015,3.10.0
fluid_coolers.osm,25.1.0-1c11a3d85f,5310562.456088298,3.10.0
dual_duct.rb,25.1.0-1c11a3d85f,5386236.174974113,3.10.0
coilsystem_dxhx.rb,25.1.0-1c11a3d85f,1160459.89125561,3.10.0
adiabatic_construction_set.py,25.1.0-1c11a3d85f,1548856.3908176015,3.10.0
zone_mixing.osm,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
baseline_sys07.rb,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
storage_liion_battery.py,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
ptac_othercoils.rb,25.1.0-1c11a3d85f,4540906.519880275,3.10.0
ghx_vertical_kusuda.py,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
surfacecontrol_moveableinsulation.py,25.1.0-1c11a3d85f,2952573.5460016243,3.10.0
zone_property_user_view_factors_by_surface_name.osm,25.1.0-1c11a3d85f,3783420.555497075,3.10.0
thermal_storage.py,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
meters.rb,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
coil_cooling_dx_airloop.py,25.1.0-1c11a3d85f,1095534.4185141479,3.10.0
python_plugin.rb,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
coilsystem_waterhx.osm,25.1.0-1c11a3d85f,4187095.867038517,3.10.0
shadowcalculation.rb,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
air_chillers.rb,25.1.0-1c11a3d85f,12550416.138745556,3.10.0
elcd_no_generators.py,25.1.0-1c11a3d85f,1051195.5336258907,3.10.0
schedule_file.osm,25.1.0-1c11a3d85f,6913264.337510899,3.10.0
hot_water.py,25.1.0-1c11a3d85f,7154682.8362259045,3.10.0
ghx_horizontal_trench_xing.osm,25.1.0-1c11a3d85f,,3.10.0
additional_props.osm,25.1.0-1c11a3d85f,5648080.132631871,3.10.0
adiabatic_construction_set.osm,25.1.0-1c11a3d85f,1897861.6108593708,3.10.0
daylighting_no_shades.rb,25.1.0-1c11a3d85f,7011401.32214814,3.10.0
dist_ht_cl.osm,25.1.0-1c11a3d85f,7577020.6668663155,3.10.0
airterminal_inletsidemixer.osm,25.1.0-1c11a3d85f,3364286.346723323,3.10.0
pv_and_storage_facilityexcess.py,25.1.0-1c11a3d85f,7090468.226324677,3.10.0
schedule_fixed_interval_schedulefile.py,25.1.0-1c11a3d85f,4248978.846823773,3.10.0
zone_hvac_equipment_list.py,25.1.0-1c11a3d85f,2984856.197119496,3.10.0
coolingtowers.py,25.1.0-1c11a3d85f,7876748.874822996,3.10.0
exterior_equipment.osm,25.1.0-1c11a3d85f,4927341.038003217,3.10.0
centralheatpumpsystem.rb,25.1.0-1c11a3d85f,4631290.360473353,3.10.0
fan_systemmodel.osm,25.1.0-1c11a3d85f,11914231.809420055,3.10.0
heatpump_hot_water.rb,25.1.0-1c11a3d85f,4531399.914163533,3.10.0
multi_stage.osm,25.1.0-1c11a3d85f,2979747.4628410074,3.10.0
humidity_control_2.rb,25.1.0-1c11a3d85f,5797816.281298969,3.10.0
zone_hvac_evaporative_cooler.py,25.1.0-1c11a3d85f,8945526.4160307,3.10.0
vrf_fluid_temperature_control_hr.osm,25.1.0-1c11a3d85f,1364591.2644574894,3.10.0
vrf_watercooled.osm,25.1.0-1c11a3d85f,6686006.226573375,3.10.0
ghx_vertical_xing.osm,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
phase_change.rb,25.1.0-1c11a3d85f,2740935.4612068636,3.10.0
ghx_vertical_kusuda.rb,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
pvwatts.rb,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
ideal_plant.osm,25.1.0-1c11a3d85f,7163232.14665113,3.10.0
coil_cooling_dx_singlespeed_thermalstorage.py,25.1.0-1c11a3d85f,1137010.8956990584,3.10.0
outputcontrol_timestamp.osm,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
plant_op_schemes.rb,25.1.0-1c11a3d85f,,3.10.0
surface_properties_ground_and_solarmult.py,25.1.0-1c11a3d85f,2582024.4428151324,3.10.0
heatpump_airtowater_fuelfired.osm,25.1.0-1c11a3d85f,2114172.434057276,3.10.0
air_terminals.osm,25.1.0-1c11a3d85f,9938800.845434243,3.10.0
airloop_avms.py,25.1.0-1c11a3d85f,4182461.0413201842,3.10.0
fuelcell.py,25.1.0-1c11a3d85f,7458827.871963244,3.10.0
heatpump_varspeed.rb,25.1.0-1c11a3d85f,1578816.8899907053,3.10.0
outputcontrol_files.py,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
surfacecontrol_moveableinsulation.rb,25.1.0-1c11a3d85f,2952573.5460016243,3.10.0
infiltration.osm,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
unitary_test.rb,25.1.0-1c11a3d85f,3395317.879242381,3.10.0
dsn_oa_w_ideal_loads.py,25.1.0-1c11a3d85f,6494499.7774140695,3.10.0
vrf_watercooled.py,25.1.0-1c11a3d85f,6685731.3596084835,3.10.0
baseline_sys06.py,25.1.0-1c11a3d85f,6708791.750145706,3.10.0
lowtemprad_varflow.rb,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
coil_cooling_dx_airloop.osm,25.1.0-1c11a3d85f,1095534.4185141479,3.10.0
lifecyclecostparameters.py,25.1.0-1c11a3d85f,162702.28687298406,3.10.0
ExampleModel.py,25.1.0-1c11a3d85f,162702.28687298406,3.10.0
cooling_coils.py,25.1.0-1c11a3d85f,8176287.519355614,3.10.0
heatexchanger_desiccant_balancedflow.osm,25.1.0-1c11a3d85f,5271701.954155452,3.10.0
chillers_tertiary.rb,25.1.0-1c11a3d85f,3154714.5032508457,3.10.0
elcd_no_generators.osm,25.1.0-1c11a3d85f,1051195.5336258907,3.10.0
unitary_vav_bypass_coiltypes.rb,25.1.0-1c11a3d85f,2364528.848216836,3.10.0
plant_op_deltatemp_schemes.osm,25.1.0-1c11a3d85f,3083836.7389938156,3.10.0
schedule_ruleset_2013.py,25.1.0-1c11a3d85f,6779896.990511612,3.10.0
environmental_factors.py,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
humidity_control_2.osm,25.1.0-1c11a3d85f,5805721.076082381,3.10.0
ems_1floor_SpaceType_1space.osm,25.1.0-1c11a3d85f,4509581.16405392,3.10.0
baseline_sys09.osm,25.1.0-1c11a3d85f,6739993.889746421,3.10.0
doas_heatexchanger_airtoair_sensibleandlatent.rb,25.1.0-1c11a3d85f,3284698.1431306135,3.10.0
zone_property_user_view_factors_by_surface_name.rb,25.1.0-1c11a3d85f,4511164.018644843,3.10.0
thermal_storage.rb,25.1.0-1c11a3d85f,7826220.744139093,3.10.0
afn_single_zone_nv.py,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
ducts_and_pipes.py,25.1.0-1c11a3d85f,5379326.588167029,3.10.0
zone_control_contaminant_controller.py,25.1.0-1c11a3d85f,6762798.36966116,3.10.0
ducts_and_pipes.rb,25.1.0-1c11a3d85f,5379326.588167029,3.10.0
lowtemprad_varflow.osm,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
coilsystem_waterhx.py,25.1.0-1c11a3d85f,4187095.867038517,3.10.0
unitary_test.py,25.1.0-1c11a3d85f,3395317.879242381,3.10.0
fuelcell.osm,25.1.0-1c11a3d85f,7460401.248382965,3.10.0
doas.py,25.1.0-1c11a3d85f,5759524.46963831,3.10.0
heatpump_plantloop_eir_heatrecovery.rb,25.1.0-1c11a3d85f,1170042.3223419779,3.10.0
schedule_fixed_interval_schedulefile.osm,25.1.0-1c11a3d85f,4177930.475485087,3.10.0
performanceprecisiontradeoffs.rb,25.1.0-1c11a3d85f,4411842.26260721,3.10.0
lowtemprad_constflow.osm,25.1.0-1c11a3d85f,9002253.27068145,3.10.0
baseline_sys01.rb,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
sizing_zone_dszad.py,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
coil_cooling_dx.py,25.1.0-1c11a3d85f,1097050.925906649,3.10.0
unitary_test.osm,25.1.0-1c11a3d85f,3395317.879242381,3.10.0
swimmingpool_indoor.osm,25.1.0-1c11a3d85f,11497770.444925588,3.10.0
ghx_horizontal_trench_kusuda.py,25.1.0-1c11a3d85f,729.8191826412543,3.10.0
afn_single_zone_nv.rb,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
heatexchanger_airtoair_sensibleandlatent.rb,25.1.0-1c11a3d85f,3458679.4537353264,3.10.0
daylighting_devices.osm,25.1.0-1c11a3d85f,2940308.79246477,3.10.0
zone_hvac.rb,25.1.0-1c11a3d85f,4975556.494913556,3.10.0
daylighting_shades.osm,25.1.0-1c11a3d85f,5593637.517241074,3.10.0
doas.rb,25.1.0-1c11a3d85f,5759524.46963831,3.10.0
coil_cooling_dx_airloop.rb,25.1.0-1c11a3d85f,1095534.4185141479,3.10.0
ducts_and_pipes.osm,25.1.0-1c11a3d85f,5389098.58267746,3.10.0
airloop_avms.osm,25.1.0-1c11a3d85f,4182461.0413201842,3.10.0
baseline_sys02.rb,25.1.0-1c11a3d85f,4275603.029733375,3.10.0
tablemultivariablelookup.osm,25.1.0-1c11a3d85f,6123941.196056375,3.10.0
solar_collector_flat_plate_water.osm,25.1.0-1c11a3d85f,6130320.005276083,3.10.0
airloop_avms.rb,25.1.0-1c11a3d85f,4182461.0413201842,3.10.0
tablemultivariablelookup.rb,25.1.0-1c11a3d85f,6123950.674227578,3.10.0
baseline_sys06.osm,25.1.0-1c11a3d85f,6356952.5569142,3.10.0
ideal_loads_w_plenums.osm,25.1.0-1c11a3d85f,1145512.815268269,3.10.0
coilsystem_integrated_heatpump.osm,25.1.0-1c11a3d85f,1082937.9289851838,3.10.0
ghx_horizontal_trench_kusuda.rb,25.1.0-1c11a3d85f,729.8191826412543,3.10.0
zoneventilation_windandstackopenarea.rb,25.1.0-1c11a3d85f,10235837.252769232,3.10.0
unitary_vav_bypass.rb,25.1.0-1c11a3d85f,4590960.742004022,3.10.0
refrigeration_system.py,25.1.0-1c11a3d85f,8603952.082212185,3.10.0
headered_pumps.rb,25.1.0-1c11a3d85f,7694521.555271557,3.10.0
unitary_vav_bypass_plenum.py,25.1.0-1c11a3d85f,3802367.4197321385,3.10.0
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,25.1.0-1c11a3d85f,4249575.971609571,3.10.0
utility_bill01.osm,25.1.0-1c11a3d85f,5653861.817065782,3.10.0
coil_waterheating_desuperheater_2.rb,25.1.0-1c11a3d85f,4678804.43271466,3.10.0
pv_and_storage_demandleveling.rb,25.1.0-1c11a3d85f,7098088.675971996,3.10.0
pthp_othercoils.osm,25.1.0-1c11a3d85f,3941165.75883082,3.10.0
unitary_systems_airloop_and_zonehvac.osm,25.1.0-1c11a3d85f,5648137.00165909,3.10.0
dist_ht_cl.rb,25.1.0-1c11a3d85f,7575911.720835549,3.10.0
zone_mixing.rb,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
foundation_kiva.py,25.1.0-1c11a3d85f,6384998.465504271,3.10.0
output_objects.osm,25.1.0-1c11a3d85f,1982985.0664347098,3.10.0
setpoint_managers.osm,25.1.0-1c11a3d85f,8019821.869134291,3.10.0
heatpump_hot_water.py,25.1.0-1c11a3d85f,4531399.914163533,3.10.0
foundation_kiva_customblocks.py,25.1.0-1c11a3d85f,6379861.296712173,3.10.0
chiller_electric_ashrae205.rb,25.1.0-1c11a3d85f,3136905.0195601583,3.10.0
unitary_vav_bypass_coiltypes.osm,25.1.0-1c11a3d85f,2364509.89187443,3.10.0
absorption_chillers.py,25.1.0-1c11a3d85f,7851783.371873942,3.10.0
zone_control_contaminant_controller.rb,25.1.0-1c11a3d85f,6762798.36966116,3.10.0
humidity_control_2.py,25.1.0-1c11a3d85f,5797816.281298969,3.10.0
space_level_dsoa.py,25.1.0-1c11a3d85f,36397125.2371517,3.10.0
environmental_factors.rb,25.1.0-1c11a3d85f,1044617.6828109166,3.10.0
foundation_kiva_customblocks.rb,25.1.0-1c11a3d85f,6379861.296712173,3.10.0
outputcontrol_timestamp.rb,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
pv_and_storage_demandleveling.osm,25.1.0-1c11a3d85f,5570615.039388663,3.10.0
schedule_fixed_interval_schedulefile.rb,25.1.0-1c11a3d85f,4248978.846823773,3.10.0
coilsystem_integrated_heatpump.rb,25.1.0-1c11a3d85f,1082890.538129168,3.10.0
generator_microturbine.osm,25.1.0-1c11a3d85f,48482039.95359778,3.10.0
airterminal_fourpipebeam.py,25.1.0-1c11a3d85f,6123941.196056375,3.10.0
pvwatts.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
doas_coil_cooling_dx_two_speed.osm,25.1.0-1c11a3d85f,3392104.779204519,3.10.0
refrigeration_system_2.py,25.1.0-1c11a3d85f,3681141.610044065,3.10.0
availability_managers.osm,25.1.0-1c11a3d85f,4286247.015994493,3.10.0
refrigeration_system.rb,25.1.0-1c11a3d85f,8603952.082212185,3.10.0
storage_liion_battery.rb,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
water_economizer.py,25.1.0-1c11a3d85f,7916926.842553076,3.10.0
baseline_sys04.py,25.1.0-1c11a3d85f,4437111.067034763,3.10.0
doas_coil_cooling_dx_two_speed.py,25.1.0-1c11a3d85f,3392104.779204519,3.10.0
generator_microturbine.py,25.1.0-1c11a3d85f,55755901.31453187,3.10.0
zone_hvac_cooling_panel.osm,25.1.0-1c11a3d85f,1045034.7223438543,3.10.0
plenums.rb,25.1.0-1c11a3d85f,5223856.145922036,3.10.0
exterior_equipment.py,25.1.0-1c11a3d85f,4927341.038003217,3.10.0
coilsystem_waterhx.rb,25.1.0-1c11a3d85f,4187095.867038517,3.10.0
solar_collector_flat_plate_photovoltaicthermal.osm,25.1.0-1c11a3d85f,6261621.110953087,3.10.0
output_objects_2.rb,25.1.0-1c11a3d85f,1960445.9753136593,3.10.0
lowtemprad_electric.rb,25.1.0-1c11a3d85f,2104087.6598971426,3.10.0
plantloop_avms.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
airterminal_fourpipebeam.rb,25.1.0-1c11a3d85f,6123941.196056375,3.10.0
evaporative_cooling.rb,25.1.0-1c11a3d85f,7140494.013934813,3.10.0
coilsystem_integrated_heatpump.py,25.1.0-1c11a3d85f,1082937.9289851838,3.10.0
schedule_file.py,25.1.0-1c11a3d85f,6911880.524515241,3.10.0
phase_change.py,25.1.0-1c11a3d85f,2740925.9830356603,3.10.0
plant_op_schemes.py,25.1.0-1c11a3d85f,,3.10.0
hightemprad.rb,25.1.0-1c11a3d85f,4425301.26571566,3.10.0
baseline_sys01.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
ideal_loads_w_plenums.py,25.1.0-1c11a3d85f,1145512.815268269,3.10.0
lifecyclecostparameters.rb,25.1.0-1c11a3d85f,162702.28687298406,3.10.0
solar_collector_flat_plate_water.rb,25.1.0-1c11a3d85f,7567182.325157464,3.10.0
electric_equipment_ITE.osm,25.1.0-1c11a3d85f,7891838.123378383,3.10.0
schedule_ruleset_2012_LeapYear.osm,25.1.0-1c11a3d85f,6792683.043464638,3.10.0
hightemprad.py,25.1.0-1c11a3d85f,4425301.26571566,3.10.0
epw_design_conditions.py,25.1.0-1c11a3d85f,7085198.363135735,3.10.0
utility_bill01.rb,25.1.0-1c11a3d85f,7082610.82239728,3.10.0
water_heaters.py,25.1.0-1c11a3d85f,7543373.159095192,3.10.0
schedule_file.rb,25.1.0-1c11a3d85f,6911880.524515241,3.10.0
electric_equipment_ITE.rb,25.1.0-1c11a3d85f,7891838.123378383,3.10.0
airloop_and_zonehvac.osm,25.1.0-1c11a3d85f,5682144.67993593,3.10.0
evaporative_cooling.py,25.1.0-1c11a3d85f,7140494.013934813,3.10.0
roof_vegetation.osm,25.1.0-1c11a3d85f,4762818.9422592325,3.10.0
plant_op_schemes.osm,25.1.0-1c11a3d85f,,3.10.0
fan_on_off.py,25.1.0-1c11a3d85f,8523785.710176084,3.10.0
swimmingpool_indoor.py,25.1.0-1c11a3d85f,11497770.444925588,3.10.0
coil_cooling_dx.rb,25.1.0-1c11a3d85f,1097050.925906649,3.10.0
generator_windturbine.rb,25.1.0-1c11a3d85f,2940905.9172505676,3.10.0
output_objects.py,25.1.0-1c11a3d85f,1982985.0664347098,3.10.0
storage_liion_battery.osm,25.1.0-1c11a3d85f,2089235.3656218331,3.10.0
zone_hvac2.rb,25.1.0-1c11a3d85f,4223766.911423439,3.10.0
absorption_chillers.osm,25.1.0-1c11a3d85f,7851783.371873942,3.10.0
surface_properties_lwr.rb,25.1.0-1c11a3d85f,1953811.255471466,3.10.0
phase_change.osm,25.1.0-1c11a3d85f,2740935.4612068636,3.10.0
heatpump_airtowater_fuelfired.rb,25.1.0-1c11a3d85f,2114172.434057276,3.10.0
fan_systemmodel.py,25.1.0-1c11a3d85f,12020444.195922365,3.10.0
ghx_vertical_kusuda.osm,25.1.0-1c11a3d85f,616.0811282036562,3.10.0
asymmetric_interior_constructions.osm,25.1.0-1c11a3d85f,5825520.975725726,3.10.0
cooling_coils.rb,25.1.0-1c11a3d85f,8176287.519355614,3.10.0
lowtemprad_electric.py,25.1.0-1c11a3d85f,2104087.6598971426,3.10.0
fan_componentmodel.py,25.1.0-1c11a3d85f,3925356.169263995,3.10.0
